Taxon,Region,LifeForm,PresentStatus,FirstRecord,FirstRecord_orig,DataQuality,Source
Alectoris graeca,New Zealand,Birds,established,1897,1897,,GAVIA
Alectoris graeca,Saint Helena,Birds,established,1981,1981,,GAVIA
Alectoris graeca,South Africa,Birds,established,1966,1966,,GAVIA
Alectoris graeca,Ukraine,Birds,established,1953,1953,,GAVIA
Alectoris graeca,United Kingdom,Birds,established,1920,1920,,GAVIA
Alectoris graeca,United States,Birds,established,1960,1960,,GAVIA
Alectoris melanocephala,Eritrea,Birds,casual,1890,1890,,GAVIA
Alectoris melanocephala,United Arab Emirates,Birds,casual,2009,2009,,GAVIA
Alectoris rufa,Australia,Birds,established,1860,1860,,GAVIA
Alectoris rufa,Canary Islands,Birds,extinct,1866,1866,,DAISIE
Alectoris rufa,Cape Verde,Birds,established,1800,1800,,GAVIA
Alectoris rufa,Croatia,Birds,established,1939,1939,,GAVIA
Alectoris rufa,Czech Republic,Birds,,1800,1800,,"�efrov�, H. & La�t?vka, Z. (2005)"
Alectoris rufa,Greece,Birds,established,1979,1979,,GAVIA
Alectoris rufa,Hawaiian Islands,Birds,established,1975,1975,,GAVIA
Alectoris rufa,Ireland,Birds,established,1767,1767,,GAVIA
Alectoris rufa,New Zealand,Birds,established,1867,1867,,GAVIA
Alectoris rufa,Portugal,Birds,established,1424,1424,,GAVIA
Alectoris rufa,Spain,Birds,established,1866,1866,,GAVIA
Alectoris rufa,United Kingdom,Birds,established,1673,1673,,GAVIA
Alectoris rufa,United States,Birds,established,1896,1896,,GAVIA
Alectura lathami,Australia,Birds,established,1936,1936,,GAVIA
Alectura lathami,New Zealand,Birds,established,1869,1869,,GAVIA
Alopochen aegyptiaca,Australia,Birds,established,1956,1956,,GAVIA
Alopochen aegyptiaca,Belgium,Birds,established,1700,1700,,GAVIA
Alopochen aegyptiaca,Czech Republic,Birds,established,1999,1999,,GAVIA
Alopochen aegyptiaca,Denmark,Birds,,1999,1999,,CABI ISC
Alopochen aegyptiaca,France,Birds,established,2005,2005,,GAVIA
Alopochen aegyptiaca,Germany,Birds,established,1750,1750,,GAVIA
Alopochen aegyptiaca,Ireland,Birds,established,2009,2009,,GAVIA
Alopochen aegyptiaca,Israel,Birds,established,1977,1977,,GAVIA
Alopochen aegyptiaca,Italy,Birds,established,2003,2003,,GAVIA
Alopochen aegyptiaca,Mauritius,Birds,established,1765,1765,,GAVIA
Alopochen aegyptiaca,Netherlands,Birds,established,1700,1700,,GAVIA
Alopochen aegyptiaca,New Zealand,Birds,established,1860,1860,,GAVIA
Alopochen aegyptiaca,Norway,Birds,established,2005,2000 - 2009,NEW_random,GISD
Alopochen aegyptiaca,Oman,Birds,established,1998,1998,,GAVIA
Alopochen aegyptiaca,Qatar,Birds,established,1984,1984,,GAVIA
Alopochen aegyptiaca,Reunion,Birds,established,1987,1987,,GAVIA
Alopochen aegyptiaca,Saudi Arabia,Birds,established,1984,1984,,GAVIA
Alopochen aegyptiaca,Spain,Birds,established,1993,1993,,GAVIA
Alopochen aegyptiaca,Sweden,Birds,,2003,2003,,CABI ISC
Alopochen aegyptiaca,Switzerland,Birds,,2003,2003,,CABI ISC
Alopochen aegyptiaca,United Arab Emirates,Birds,established,1976,1976,,GAVIA
Alopochen aegyptiaca,United Kingdom,Birds,established,1650,1650,,GAVIA
Alopochen aegyptiaca,United States,Birds,established,1965,1965,,GAVIA
Alopochen aegyptiacus,Belgium,Birds,established,1870,1870,,DAISIE
Alopochen aegyptiacus,Denmark,Birds,established,1973,1970 - 1979,NEW_random,DAISIE
Alopochen aegyptiacus,France,Birds,casual,1985,1985,,DAISIE
Alopochen aegyptiacus,Germany,Birds,,1866,1866,,Nehring & Rabitsch (2015)
Alopochen aegyptiacus,Israel,Birds,established,1974,1970 - 1979,NEW_random,DAISIE
Alopochen aegyptiacus,Italy,Birds,casual,1989,1989,,DAISIE
Alopochen aegyptiacus,Netherlands,Birds,established,1969,1967 - 1969,NEW_random,DAISIE
Alopochen aegyptiacus,Spain,Birds,casual,2006,2006,,DAISIE
Alopochen aegyptiacus,Sweden,Birds,established,2003,2003,,DAISIE
Alopochen aegyptiacus,United Kingdom,Birds,established,1676,1676 - 1678,NEW_random,DAISIE
Amadina fasciata,Germany,Birds,extinct,1899,1899,,DAISIE
Amadina fasciata,Portugal,Birds,casual,1997,1997,,GAVIA
Amadina fasciata,Reunion,Birds,casual,1863,1863,,GAVIA
Amandava amandava,Bahrain,Birds,established,1981,1981,,GAVIA
Amandava amandava,Brunei Darussalam,Birds,established,2010,2010,,GAVIA
Amandava amandava,Comoros,Birds,established,1884,1884,,GAVIA
Amandava amandava,Cuba,Birds,established,2004,2004,,GAVIA
Amandava amandava,Dominican Republic,Birds,established,1997,1997,,GAVIA
Amandava amandava,Egypt,Birds,established,1861,1861,,GAVIA
Amandava amandava,Fiji,Birds,established,1900,1900,,GAVIA
Amandava amandava,France,Birds,casual,1960,1960,,DAISIE
Amandava amandava,French Polynesia,Birds,established,1939,1939,,GAVIA
Amandava amandava,Guadeloupe,Birds,established,1965,1965,,GAVIA
Amandava amandava,Hawaiian Islands,Birds,established,1900,1900,,GAVIA
Amandava amandava,Hong Kong,Birds,established,1953,1953,,GAVIA
Amandava amandava,India,Birds,established,1867,1867,,GAVIA
Amandava amandava,Indonesia,Birds,established,1947,1947,,GAVIA
Amandava amandava,Israel,Birds,established,1982,1982,,GAVIA
Amandava amandava,Italy,Birds,established,1975,1975,,GAVIA
Amandava amandava,Jamaica,Birds,established,2004,2004,,GAVIA
Amandava amandava,Japan,Birds,established,1935,1935,,GAVIA
Amandava amandava,Kuwait,Birds,established,2002,2002,,GAVIA
Amandava amandava,Malaysia,Birds,established,1969,1969,,GAVIA
Amandava amandava,Martinique,Birds,established,1970,1970,,GAVIA
Amandava amandava,Mauritius,Birds,established,1732,1732,,GAVIA
Amandava amandava,Oman,Birds,established,1982,1982,,GAVIA
Amandava amandava,Philippines,Birds,established,1910,1910,,GAVIA
Amandava amandava,Portugal,Birds,established,1974,1974,,GAVIA
Amandava amandava,Puerto Rico,Birds,established,1960,1960,,GAVIA
Amandava amandava,Qatar,Birds,established,1994,1994,,GAVIA
Amandava amandava,Reunion,Birds,established,1650,1650,,GAVIA
Amandava amandava,Saudi Arabia,Birds,established,1975,1975,,GAVIA
Amandava amandava,Singapore,Birds,established,1879,1879,,GAVIA
Amandava amandava,South Africa,Birds,established,1986,1986,,GAVIA
Amandava amandava,Spain,Birds,established,1973,1973,,GAVIA
Amandava amandava,Sri Lanka,Birds,established,1874,1874,,GAVIA
Amandava amandava,Taiwan,Birds,established,2005,2005,,GAVIA
Amandava amandava,United Arab Emirates,Birds,established,1984,1984,,GAVIA
Amandava amandava,United States,Birds,established,1987,1987,,GAVIA
Amandava amandava,Vanuatu,Birds,established,1988,1988,,GAVIA
Amandava formosa,Pakistan,Birds,established,1960,1960,,GAVIA
Amandava subflava,France,Birds,casual,1998,1998,,DAISIE
Amandava subflava,French Polynesia,Birds,casual,1938,1938,,GAVIA
Amandava subflava,Kuwait,Birds,casual,1999,1999,,GAVIA
Amandava subflava,Portugal,Birds,casual,1998,1998,,DAISIE
Amandava subflava,Saint Helena,Birds,casual,1929,1929,,GAVIA
Amandava subflava,Taiwan,Birds,casual,2005,2005,,GAVIA
Amandava subflava,United States,Birds,casual,1990,1990,,GAVIA
Amandava subflava,Yemen,Birds,casual,1950,1950,,GAVIA
Amazona aestiva,Germany,Birds,casual,1893,1893,,DAISIE
Amazona aestiva,Hawaiian Islands,Birds,casual,1991,1991,,GAVIA
Amazona aestiva,Italy,Birds,established,1993,1993,,DAISIE
Amazona aestiva,Puerto Rico,Birds,casual,1971,1971,,GAVIA
Amazona aestiva,Spain,Birds,casual,1993,1993,,GAVIA
Amazona aestiva,Switzerland,Birds,extinct,1891,1891,,DAISIE
Amazona aestiva,United States,Birds,casual,1975,1975,,GAVIA
Amazona albifrons,Mexico,Birds,established,2007,2007,,GAVIA
Amazona albifrons,Puerto Rico,Birds,established,1978,1978,,GAVIA
Amazona albifrons,United States,Birds,established,1970,1970,,GAVIA
Amazona amazonica,Barbados,Birds,established,1951,1951,,GAVIA
Amazona amazonica,Germany,Birds,casual,1987,1987,,DAISIE
Amazona amazonica,Grenada,Birds,established,1989,1989,,GAVIA
Amazona amazonica,Guadeloupe,Birds,established,2009,2009,,GAVIA
Amazona amazonica,Martinique,Birds,established,1977,1977,,GAVIA
Amazona amazonica,Puerto Rico,Birds,established,1960,1960,,GAVIA
Amazona amazonica,United States,Birds,established,1973,1973,,GAVIA
Amazona auropalliata,United States,Birds,casual,1975,1975,,GAVIA
Amazona autumnalis,Mexico,Birds,established,2007,2007,,GAVIA
Amazona autumnalis,United States,Birds,established,1968,1968,,GAVIA
Amazona barbadensis,Aruba,Birds,casual,2011,2011,,GAVIA
Amazona barbadensis,United States,Birds,casual,1985,1985,,GAVIA
Amazona farinosa,Hong Kong,Birds,casual,1998,1998,,GAVIA
Amazona farinosa,Mexico,Birds,casual,1998,1998,,GAVIA
Amazona farinosa,United States,Birds,casual,1983,1983,,GAVIA
Amazona festiva,United States,Birds,casual,1985,1985,,GAVIA
Amazona finschi,Mexico,Birds,established,1937,1937,,GAVIA
Amazona finschi,United States,Birds,established,1974,1974,,GAVIA
Amazona finschi,"Virgin Islands, US",Birds,established,1983,1983,,GAVIA
Amazona ochrocephala,Barbados,Birds,established,1991,1991,,GAVIA
Amazona ochrocephala,Cayman Islands,Birds,established,1991,1991,,GAVIA
Amazona ochrocephala,Germany,Birds,alien,1984,1984,,DAISIE
Amazona ochrocephala,Hawaiian Islands,Birds,established,1969,1969,,GAVIA
Amazona ochrocephala,Puerto Rico,Birds,established,1989,1989,,GAVIA
Amazona ochrocephala,Singapore,Birds,established,1998,1998,,GAVIA
Amazona ochrocephala,Trinidad and Tobago,Birds,established,1991,1991,,GAVIA
Amazona ochrocephala,United States,Birds,established,1961,1961,,GAVIA
Amazona oratrix,Germany,Birds,,1984,1984,,Nehring & Rabitsch (2015)
Amazona oratrix,Mexico,Birds,established,1998,1998,,GAVIA
Amazona oratrix,Puerto Rico,Birds,established,1971,1971,,GAVIA
Amazona oratrix,United States,Birds,established,1945,1945,,GAVIA
Amazona pretrei,United States,Birds,casual,1988,1988,,GAVIA
Amazona ventralis,Puerto Rico,Birds,established,1980,1980,,GAVIA
Amazona ventralis,United States,Birds,established,1975,1975,,GAVIA
Amazona ventralis,"Virgin Islands, US",Birds,established,1998,1998,,GAVIA
Amazona viridigenalis,Hawaiian Islands,Birds,established,1946,1946,,GAVIA
Amazona viridigenalis,Mexico,Birds,established,2007,2007,,GAVIA
Amazona viridigenalis,Puerto Rico,Birds,established,1960,1960,,GAVIA
Amazona viridigenalis,United States,Birds,established,1925,1925,,GAVIA
Ammoperdix griseogularis,Hawaiian Islands,Birds,casual,1959,1959,,GAVIA
Ammoperdix griseogularis,United Arab Emirates,Birds,casual,2010,2010,,GAVIA
Ammoperdix griseogularis,United States,Birds,casual,1956,1956,,GAVIA
Ammoperdix heyi,Cyprus,Birds,casual,1937,1937,,GAVIA
Anas acuta,Ireland,Birds,established,1917,1917,,DAISIE
Anas acuta,New Zealand,Birds,established,1906,1906,,GAVIA
Anas acuta,United Kingdom,Birds,established,2011,2011,,GAVIA
Anas bahamensis,Barbados,Birds,casual,1980,1980,,GAVIA
Anas bahamensis,France,Birds,casual,1995,1995,,GAVIA
Anas bahamensis,Israel,Birds,casual,2002,2002,,GAVIA
Anas bahamensis,United States,Birds,casual,1912,1912,,GAVIA
Anas clypeata,Australia,Birds,established,2007,2007,,GAVIA
Anas clypeata,Saudi Arabia,Birds,established,1995,1995,,GAVIA
Anas cyanoptera,Norway,Birds,established,2005,2000 - 2009,NEW_random,GISD
Anas cyanoptera,United Kingdom,Birds,casual,1985,1985,,GAVIA
Anas discors,Hawaiian Islands,Birds,casual,1922,1922,,GAVIA
Anas discors,United Kingdom,Birds,casual,1945,1945,,GAVIA
Anas erythrorhyncha,Norway,Birds,established,2005,2000 - 2009,NEW_random,GISD
Anas falcata,Belgium,Birds,casual,2000,2000,,DAISIE
Anas falcata,United Kingdom,Birds,casual,1955,1955,,GAVIA
Anas formosa,Norway,Birds,established,1975,1970 - 1979,NEW_random,GISD
Anas formosa,United Kingdom,Birds,casual,1906,1906,,GAVIA
Anas fulvigula,United States,Birds,casual,2000,2000,,GAVIA
Anas hottentota,United States,Birds,casual,1989,1989,,GAVIA
Anas luzonica,United States,Birds,casual,2000,2000,,GAVIA
Anas melleri,Mauritius,Birds,established,1714,1714,,GAVIA
Anas melleri,Reunion,Birds,established,1976,1976,,GAVIA
Anas penelope,Germany,Birds,casual,1985,1985,,GAVIA
Anas penelope,New Zealand,Birds,casual,1868,1868,,GAVIA
Anas platalea,Cayman Islands,Birds,casual,2005,2005,,GAVIA
Anas platyrhynchos,Australia,Birds,established,1861,1861,,GAVIA
Anas platyrhynchos,Bahamas,Birds,established,2000,2000,,GAVIA
Anas platyrhynchos,Barbados,Birds,established,1985,1985,,GAVIA
Anas platyrhynchos,Bermuda,Birds,established,1955,1955,,GAVIA
Anas platyrhynchos,Canada,Birds,established,1937,1937,,GAVIA
Anas platyrhynchos,Cayman Islands,Birds,established,1983,1983,,GAVIA
Anas platyrhynchos,Colombia,Birds,established,2004,2004,,GAVIA
Anas platyrhynchos,Falkland Islands,Birds,established,1935,1935,,GAVIA
Anas platyrhynchos,Fiji,Birds,established,1983,1983,,GAVIA
Anas platyrhynchos,French Polynesia,Birds,established,1938,1938,,GAVIA
Anas platyrhynchos,Hawaiian Islands,Birds,established,1988,1988,,GAVIA
Anas platyrhynchos,Jordan,Birds,established,2010,2010,,GAVIA
Anas platyrhynchos,Madagascar,Birds,established,1895,1895,,GAVIA
Anas platyrhynchos,Mali,Birds,established,2000,2000,,GAVIA
Anas platyrhynchos,Mauritius,Birds,established,1930,1930,,GAVIA
Anas platyrhynchos,Namibia,Birds,established,1996,1996,,GAVIA
Anas platyrhynchos,New Caledonia,Birds,established,1970,1970,,GAVIA
Anas platyrhynchos,New Zealand,Birds,established,1867,1867,,GAVIA
Anas platyrhynchos,Norfolk Island,Birds,established,1996,1996,,GAVIA
Anas platyrhynchos,Northern Mariana Islands,Birds,established,2000,2000,,GAVIA
Anas platyrhynchos,Peru,Birds,established,2001,2001,,GAVIA
Anas platyrhynchos,Saudi Arabia,Birds,established,1955,1955,,GAVIA
Anas platyrhynchos,Singapore,Birds,established,2007,2007,,GAVIA
Anas platyrhynchos,South Africa,Birds,established,1939,1939,,GAVIA
Anas platyrhynchos,Syria,Birds,established,2010,2010,,GAVIA
Anas platyrhynchos,Tasmania,Birds,established,1949,1949,,GAVIA
Anas platyrhynchos,Turks and Caicos,Birds,established,1972,1972,,GAVIA
Anas platyrhynchos,United Arab Emirates,Birds,established,1984,1984,,GAVIA
Anas platyrhynchos,United States,Birds,established,1860,1860,,GAVIA
Anas platyrhynchos,"Virgin Islands, US",Birds,established,2005,2005,,GAVIA
Anas poecilorhyncha,Germany,Birds,,1968,1965-1969,NEW_random,Nehring & Rabitsch (2015)
Anas poecilorhyncha,Oman,Birds,casual,1997,1997,,GAVIA
Anas poecilorhyncha,United States,Birds,casual,1985,1985,,GAVIA
Anas rubripes,Canada,Birds,casual,2011,2011,,GAVIA
Anas rubripes,South Africa,Birds,casual,1975,1975,,GAVIA
Anas sibilatrix,Norway,Birds,established,1986,1980 - 1989,NEW_random,GISD
Anas strepera,United Kingdom,Birds,established,1850,1850,,GAVIA
Anas versicolor,United Kingdom,Birds,casual,1985,1985,,GAVIA
Anodorhynchus hyacinthinus,United States,Birds,casual,1985,1985,,GAVIA
Anser albifrons,Germany,Birds,casual,1991,1991,,GAVIA
Anser albifrons,Netherlands,Birds,casual,1991,1991,,GAVIA
Anser albifrons,United Kingdom,Birds,casual,1991,1991,,GAVIA
Anseranas semipalmata,United Kingdom,Birds,casual,1996,1996,,GAVIA
Anser anser,Australia,Birds,established,2007,2007,,GAVIA
Anser anser,Austria,Birds,established,1982,1980 - 1990,NEW_random,DAISIE
Anser anser,Belgium,Birds,established,1971,1971,,DAISIE
Anser anser,Colombia,Birds,established,2001,2001,,GAVIA
Anser anser,Ecuador,Birds,established,2012,2012,,GAVIA
Anser anser,Falkland Islands,Birds,established,1765,1765,,GAVIA
Anser anser,Germany,Birds,established,1982,1980 - 1990,NEW_random,DAISIE
Anser anser,Ireland,Birds,,1900,Pre-1900,,O�Flynn et al. (2014)
Anser anser,New Zealand,Birds,established,1773,1773,,GAVIA
Anser anser,Switzerland,Birds,alien,1983,1983,,GISD
Anser anser,Tasmania,Birds,established,1996,1996,,GAVIA
Anser anser,United Kingdom,Birds,established,2011,2011,,GAVIA
Anser anser,United States,Birds,established,1985,1985,,GAVIA
Anser brachyrhynchus,France,Birds,casual,2003,2003,,GAVIA
Anser brachyrhynchus,United Kingdom,Birds,casual,1990,1990,,GAVIA
Anser caerulescens,Ireland,Birds,,1947,1947,,O�Flynn et al. (2014)
Anser caerulescens,Norway,Birds,established,1969,1960 - 1969,NEW_random,GISD
Anser caerulescens,United Kingdom,Birds,established,1955,1950 - 1959,NEW_random,DAISIE
Anser canagica,United Kingdom,Birds,casual,1991,1991,,DAISIE
Anser canagicus,Norway,Birds,established,1993,1990 - 1999,NEW_random,GISD
Anser cygnoides,Germany,Birds,,1854,1854,,Nehring & Rabitsch (2015)
Anser cygnoides,Hong Kong,Birds,established,1985,1985,,GAVIA
Anser cygnoides,Italy,Birds,established,2003,2003,,GAVIA
Anser cygnoides,Monaco,Birds,established,1995,1995,,GAVIA
Anser cygnoides,Netherlands,Birds,established,1987,1987,,GAVIA
Anser cygnoides,United Kingdom,Birds,established,1990,1990,,GAVIA
Anser cygnoides,United States,Birds,established,1986,1986,,GAVIA
Anser erythropus,United Kingdom,Birds,casual,1993,1993,,GAVIA
Anser fabalis,Belgium,Birds,casual,1991,1991,,GAVIA
Anser fabalis,Finland,Birds,casual,1960,1960,,GAVIA
Anser fabalis,Netherlands,Birds,casual,1991,1991,,GAVIA
Anser fabalis,United Kingdom,Birds,casual,1985,1985,,GAVIA
Anser fabalis,United States,Birds,casual,1981,1981,,GAVIA
Anser indicus,Austria,Birds,casual,1994,1990 - 1999,NEW_random,DAISIE
Anser indicus,Belgium,Birds,established,1966,1966,,GAVIA
Anser indicus,Croatia,Birds,established,1994,1994,,GAVIA
Anser indicus,Czech Republic,Birds,casual,1972,1972,,DAISIE
Anser indicus,Estonia,Birds,,1974,1974,,CABI ISC
Anser indicus,Finland,Birds,established,1982,1982,,GAVIA
Anser indicus,France,Birds,established,2000,2000,,GAVIA
Anser indicus,Germany,Birds,,1934,1934,,Nehring & Rabitsch (2015)
Anser indicus,Iceland,Birds,,1974,1974,,CABI ISC
Anser indicus,Italy,Birds,established,1969,1969,,GAVIA
Anser indicus,Latvia,Birds,,1998,1998,,CABI ISC
Anser indicus,Netherlands,Birds,established,1973,1973,,GAVIA
Anser indicus,Norway,Birds,established,1951,1950 - 1959,NEW_random,GISD
Anser indicus,Sweden,Birds,,1930,1930,,CABI ISC
Anser indicus,Switzerland,Birds,established,1995,1995,,GAVIA
Anser indicus,Ukraine,Birds,established,1970,1970,,GAVIA
Anser indicus,United Kingdom,Birds,established,1965,1965,,GAVIA
Anser indicus,United States,Birds,established,1995,1995,,GAVIA
Anser rossii,Netherlands,Birds,alien,2001,2001,,DAISIE
Anser rossii,Norway,Birds,established,2000,2000 - 2009,NEW_random,GISD
Anthracoceros malayanus,Singapore,Birds,casual,1986,1986,,GAVIA
Aplonis metallica,Australia,Birds,casual,1886,1886,,GAVIA
Aplonis panayensis,Taiwan,Birds,established,2001,2001,,GAVIA
Aptenodytes patagonicus,Norway,Birds,casual,1936,1936,,GAVIA
Apteryx australis,New Zealand,Birds,established,1981,1981,,GAVIA
Apteryx haastii,New Zealand,Birds,established,1915,1915,,GAVIA
Apteryx owenii,New Zealand,Birds,established,1895,1895,,GAVIA
Ara ararauna,Hawaiian Islands,Birds,established,2007,2007,,GAVIA
Ara ararauna,Mauritius,Birds,established,1995,1995,,GAVIA
Ara ararauna,Puerto Rico,Birds,established,1972,1972,,GAVIA
Ara ararauna,Trinidad and Tobago,Birds,established,2011,2011,,GAVIA
Ara ararauna,United States,Birds,established,1895,1895,,GAVIA
Ara chloropterus,Puerto Rico,Birds,casual,1997,1997,,GAVIA
Ara macao,Hawaiian Islands,Birds,casual,1933,1933,,GAVIA
Ara macao,Trinidad and Tobago,Birds,casual,1934,1934,,GAVIA
Ara macao,United States,Birds,casual,1985,1985,,GAVIA
Aramides cajanea,United States,Birds,casual,1965,1965,,GAVIA
Ara militaris,Hawaiian Islands,Birds,casual,2007,2007,,GAVIA
Ara militaris,United States,Birds,casual,1985,1985,,GAVIA
Ara severus,Aruba,Birds,established,2011,2011,,GAVIA
Ara severus,United States,Birds,established,1977,1977,,GAVIA
Aratinga acuticaudata,Hawaiian Islands,Birds,established,1991,1991,,GAVIA
Aratinga acuticaudata,Puerto Rico,Birds,established,1989,1989,,GAVIA
Aratinga acuticaudata,Spain,Birds,established,1988,1988,,GAVIA
Aratinga acuticaudata,United Kingdom,Birds,established,1997,1997,,GAVIA
Aratinga acuticaudata,United States,Birds,established,1974,1974,,GAVIA
Aratinga aurea,United States,Birds,casual,1987,1987,,GAVIA
Aratinga canicularis,Mexico,Birds,established,2007,2007,,GAVIA
Aratinga canicularis,Puerto Rico,Birds,established,1965,1965,,GAVIA
Aratinga canicularis,United States,Birds,established,1971,1971,,GAVIA
Aratinga chloroptera,Puerto Rico,Birds,casual,1989,1989,,GAVIA
Aratinga chloroptera,United States,Birds,casual,1975,1975,,GAVIA
Aratinga erythrogenys,Cayman Islands,Birds,established,1992,1992,,GAVIA
Aratinga erythrogenys,Ecuador,Birds,established,1996,1996,,GAVIA
Aratinga erythrogenys,Hawaiian Islands,Birds,established,2007,2007,,GAVIA
Aratinga erythrogenys,Spain,Birds,established,1991,1991,,GAVIA
Aratinga erythrogenys,United States,Birds,established,1983,1983,,GAVIA
Aratinga finschi,United States,Birds,casual,1973,1973,,GAVIA
Aratinga holochlora,United States,Birds,established,1920,1920,,GAVIA
Aratinga jandaya,South Africa,Birds,casual,2005,2005,,GAVIA
Aratinga leucophthalma,United States,Birds,casual,1897,1897,,GAVIA
Aratinga mitrata,Hawaiian Islands,Birds,established,1946,1946,,GAVIA
Aratinga mitrata,Puerto Rico,Birds,established,1986,1986,,GAVIA
Aratinga mitrata,Spain,Birds,established,1993,1993,,GAVIA
Aratinga mitrata,United States,Birds,established,1979,1979,,GAVIA
Aratinga mitrata,"Virgin Islands, US",Birds,established,1983,1983,,GAVIA
Aratinga nana,Puerto Rico,Birds,casual,1993,1993,,GAVIA
Aratinga pertinax,British Virgin Islands,Birds,established,1800,1800,,GAVIA
Aratinga pertinax,Dominica,Birds,established,1998,1998,,GAVIA
Aratinga pertinax,Dominican Republic,Birds,established,1985,1985,,GAVIA
Aratinga pertinax,Guadeloupe,Birds,established,1998,1998,,GAVIA
Aratinga pertinax,Martinique,Birds,established,1988,1988,,GAVIA
Aratinga pertinax,Puerto Rico,Birds,established,1974,1974,,GAVIA
Aratinga pertinax,South Africa,Birds,established,1982,1982,,GAVIA
Aratinga pertinax,Trinidad and Tobago,Birds,established,2003,2003,,GAVIA
Aratinga pertinax,United States,Birds,established,1969,1969,,GAVIA
Aratinga pertinax,"Virgin Islands, US",Birds,established,1800,1800,,GAVIA
Aratinga wagleri,Hawaiian Islands,Birds,casual,2007,2007,,GAVIA
Aratinga wagleri,United States,Birds,casual,1985,1985,,GAVIA
Aratinga weddellii,South Africa,Birds,established,2005,2005,,GAVIA
Aratinga weddellii,United States,Birds,established,1984,1984,,GAVIA
Arborophila crudigularis,Japan,Birds,casual,1924,1924,,GAVIA
Ardea goliath,United Arab Emirates,Birds,casual,2010,2010,,GAVIA
Ardeola bacchus,Norway,Birds,casual,1970,1970 - 1979,NEW_random,GISD
Athene noctua,Ireland,Birds,established,1903,1903,,GAVIA
Athene noctua,New Zealand,Birds,established,1906,1906,,GAVIA
Athene noctua,Norway,Birds,casual,1970,1970 - 1979,NEW_random,GISD
Athene noctua,Taiwan,Birds,established,2009,2009,,GAVIA
Athene noctua,United Kingdom,Birds,established,1790,1790,,GAVIA
Atrichornis clamosus,Australia,Birds,established,1983,1983,,GAVIA
Aythya ferina,Andorra,Birds,casual,1999,1999,,GAVIA
Aythya ferina,New Zealand,Birds,casual,1894,1894,,GAVIA
Aythya ferina,South Africa,Birds,casual,2000,2000,,GAVIA
Aythya ferina,United Kingdom,Birds,casual,2011,2011,,GAVIA
Aythya fuligula,New Zealand,Birds,casual,1870,1870,,GAVIA
Aythya fuligula,South Africa,Birds,casual,1979,1979,,GAVIA
Aythya novaeseelandiae,United Kingdom,Birds,casual,1985,1985,,GAVIA
Babax lanceolatus,Hong Kong,Birds,established,1959,1959,,GAVIA
Balearica pavonina,France,Birds,casual,1981,1981,,GAVIA
Balearica pavonina,United States,Birds,casual,1999,1999,,GAVIA
Balearica regulorum,United Arab Emirates,Birds,casual,1989,1989,,GAVIA
Balearica regulorum,United States,Birds,casual,1965,1965,,GAVIA
Bambusicola thoracica,Italy,Birds,extinct,1927,1927,,DAISIE
Bambusicola thoracica,Japan,Birds,alien,1915,1915,,GISD
Bambusicola thoracica,Russia,Birds,extinct,1956,1956 - 1961,NEW_random,DAISIE
Bambusicola thoracica,Sicily,Birds,extinct,1927,1927,,DAISIE
Bambusicola thoracica,Ukraine,Birds,extinct,1956,1956,,DAISIE
Bambusicola thoracicus,Hawaiian Islands,Birds,established,1959,1959,,GAVIA
Bambusicola thoracicus,Hong Kong,Birds,established,2010,2010,,GAVIA
Bambusicola thoracicus,Italy,Birds,established,1929,1929,,GAVIA
Bambusicola thoracicus,Japan,Birds,established,1915,1915,,GAVIA
Bambusicola thoracicus,Russia,Birds,established,1956,1956,,GAVIA
Bambusicola thoracicus,United States,Birds,established,1906,1906,,GAVIA
Barnardius zonarius,Australia,Birds,casual,1998,1998,,GAVIA
Barnardius zonarius,Tasmania,Birds,casual,1998,1998,,GAVIA
Bombycilla garrulus,Hong Kong,Birds,casual,1987,1987,,GAVIA
Bonasa bonasia,Poland,Birds,casual,1933,1933,,GAVIA
Bonasa bonasia,United States,Birds,casual,1905,1905,,GAVIA
Bonasa umbellus,Canada,Birds,established,1925,1925,,GAVIA
Bonasa umbellus,United States,Birds,established,1884,1884,,GAVIA
Bowdleria punctata,New Zealand,Birds,established,1948,1948,,GAVIA
Branta bernicla,United Kingdom,Birds,casual,1993,1993,,GAVIA
Branta canadensis,Aland Islands,Birds,established,2008,2008,,GAVIA
Branta canadensis,Australia,Birds,established,1921,1921,,GAVIA
Branta canadensis,Austria,Birds,established,1955,1955,,GAVIA
Branta canadensis,Bahamas,Birds,established,2005,2005,,GAVIA
Branta canadensis,Belarus,Birds,established,2010,2010,,GAVIA
Branta canadensis,Belgium,Birds,established,1955,1955,,GAVIA
Branta canadensis,Bermuda,Birds,established,2005,2005,,GAVIA
Branta canadensis,Bulgaria,Birds,established,1983,1983,,GAVIA
Branta canadensis,Canada,Birds,established,1931,1931,,GAVIA
Branta canadensis,Cayman Islands,Birds,established,2005,2005,,GAVIA
Branta canadensis,China,Birds,established,2009,2009,,GAVIA
Branta canadensis,Cuba,Birds,established,2010,2010,,GAVIA
Branta canadensis,Czech Republic,Birds,casual,1964,1964,,DAISIE
Branta canadensis,Denmark,Birds,established,1930,1930,,GAVIA
Branta canadensis,Dominican Republic,Birds,established,2010,2010,,GAVIA
Branta canadensis,Estonia,Birds,established,1968,1968,,GAVIA
Branta canadensis,Faroe Islands,Birds,established,1984,1984,,GAVIA
